gap1,t1_0,t1_1,t1_2,count1,gap2,t2_0,t2_1,t2_2,count2,gap3,t3_0,t3_1,t3_2,count3,label
0,1,1,0,2,620,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,680,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,680,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,660,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,660,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,660,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,640,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,680,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,620,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,540,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,640,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,640,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,620,1,0,0,1,660,1,0,1,2,auth_knock_1
0,1,1,0,2,640,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,540,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,540,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,620,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,620,1,0,0,1,660,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,640,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,640,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,540,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,660,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,620,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,520,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,600,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,500,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,520,1,0,1,2,auth_knock_1
0,1,1,0,2,620,1,0,0,1,540,1,0,1,2,auth_knock_1
0,1,1,0,2,580,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,600,1,0,1,2,auth_knock_1
0,1,1,0,2,540,1,0,0,1,500,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,580,1,0,1,2,auth_knock_1
0,1,1,0,2,560,1,0,0,1,560,1,0,1,2,auth_knock_1
0,1,1,0,2,540,1,0,0,1,500,1,0,1,2,auth_knock_1
